,hash,last_modified,bytes,path,content_type,file_ext,isNII,subject,session,modality,task,MB
4870,5f107cb0f56a6bd39e42210a49a8308c,2022-05-17T11:41:55.698320,2009882,v3.0/sub-14/ses-01/fmap/sub-14_ses-01_dir-pa_epi.nii.gz,application/octet-stream,gz,NIFTI,sub-14,ses-01,fmap,,1.9167728424072266
4871,51fdd9843d6663037665594a34e2a571,2022-05-17T11:41:56.500160,743409004,v3.0/sub-14/ses-01/func/sub-14_ses-01_task-ArchiEmotional_dir-ap_bold.nii.gz,application/octet-stream,gz,NIFTI,sub-14,ses-01,bold,ArchiEmotional,708.9700736999512
4872,994da04743e0e49e85dc9c6f3f17e5fb,2022-05-17T11:41:58.774410,1298,v3.0/sub-14/ses-01/func/sub-14_ses-01_task-ArchiEmotional_dir-ap_events.tsv,text/tab-separated-values,tsv,,sub-14,ses-01,events,ArchiEmotional,0.0012378692626953125
4873,243eafb5d9ec944fd81aeda0d9077e64,2022-05-17T11:41:59.605280,741579797,v3.0/sub-14/ses-01/func/sub-14_ses-01_task-ArchiEmotional_dir-pa_bold.nii.gz,application/octet-stream,gz,NIFTI,sub-14,ses-01,bold,ArchiEmotional,707.2256059646606
4874,994da04743e0e49e85dc9c6f3f17e5fb,2022-05-17T11:42:01.907490,1298,v3.0/sub-14/ses-01/func/sub-14_ses-01_task-ArchiEmotional_dir-pa_events.tsv,text/tab-separated-values,tsv,,sub-14,ses-01,events,ArchiEmotional,0.0012378692626953125
4875,3667ba3445556a55830d2d6d721484d6,2022-05-17T11:42:02.655450,3406920,v3.0/sub-14/ses-01/func/sub-14_ses-01_task-ArchiEmotional_dir-pa_sbref.nii.gz,application/octet-stream,gz,NIFTI,sub-14,ses-01,sbref,ArchiEmotional,3.2490921020507812
4876,c17ec4ddda5adf3fc27c5300cc499afa,2022-05-17T11:42:03.384380,886376621,v3.0/sub-14/ses-01/func/sub-14_ses-01_task-ArchiSocial_dir-ap_bold.nii.gz,application/octet-stream,gz,NIFTI,sub-14,ses-01,bold,ArchiSocial,845.3146181106567
4877,ffd4f3683a5dec23072516e383b51d9d,2022-05-17T11:42:06.374170,2541,v3.0/sub-14/ses-01/func/sub-14_ses-01_task-ArchiSocial_dir-ap_events.tsv,text/tab-separated-values,tsv,,sub-14,ses-01,events,ArchiSocial,0.0024232864379882812
4878,a35a44498ddbd01d0dd8561d784ae00e,2022-05-17T11:42:07.250700,3421825,v3.0/sub-14/ses-01/func/sub-14_ses-01_task-ArchiSocial_dir-ap_sbref.nii.gz,application/octet-stream,gz,NIFTI,sub-14,ses-01,sbref,ArchiSocial,3.2633066177368164
4879,52425e6aea9130172ae15b1d8ab149bb,2022-05-17T11:42:08.019790,883084151,v3.0/sub-14/ses-01/func/sub-14_ses-01_task-ArchiSocial_dir-pa_bold.nii.gz,application/octet-stream,gz,NIFTI,sub-14,ses-01,bold,ArchiSocial,842.1746740341187
4880,ffd4f3683a5dec23072516e383b51d9d,2022-05-17T11:42:15.165490,2541,v3.0/sub-14/ses-01/func/sub-14_ses-01_task-ArchiSocial_dir-pa_events.tsv,text/tab-separated-values,tsv,,sub-14,ses-01,events,ArchiSocial,0.0024232864379882812
4881,4d7f7f946a347dab7d233a144a96eb42,2022-05-17T11:42:15.953350,3407216,v3.0/sub-14/ses-01/func/sub-14_ses-01_task-ArchiSocial_dir-pa_sbref.nii.gz,application/octet-stream,gz,NIFTI,sub-14,ses-01,sbref,ArchiSocial,3.2493743896484375
4882,d7880eeea8cebbe4d5cf0ef91be4f9f3,2022-05-17T11:42:16.729180,852359027,v3.0/sub-14/ses-01/func/sub-14_ses-01_task-ArchiSpatial_dir-ap_bold.nii.gz,application/octet-stream,gz,NIFTI,sub-14,ses-01,bold,ArchiSpatial,812.8729124069214
4883,eabd8ff555368f2c16056fd404ad8847,2022-05-17T11:42:19.051420,1037,v3.0/sub-14/ses-01/func/sub-14_ses-01_task-ArchiSpatial_dir-ap_events.tsv,text/tab-separated-values,tsv,,sub-14,ses-01,events,ArchiSpatial,0.0009889602661132812
4884,8736ef4f0c884599b9706e710c5bb628,2022-05-17T11:42:19.798150,3422666,v3.0/sub-14/ses-01/func/sub-14_ses-01_task-ArchiSpatial_dir-ap_sbref.nii.gz,application/octet-stream,gz,NIFTI,sub-14,ses-01,sbref,ArchiSpatial,3.264108657836914
4885,c02be1e080c0af96455e7147e59239ec,2022-05-17T11:42:20.726330,849567587,v3.0/sub-14/ses-01/func/sub-14_ses-01_task-ArchiSpatial_dir-pa_bold.nii.gz,application/octet-stream,gz,NIFTI,sub-14,ses-01,bold,ArchiSpatial,810.2107877731323
4886,eabd8ff555368f2c16056fd404ad8847,2022-05-17T11:42:23.426640,1037,v3.0/sub-14/ses-01/func/sub-14_ses-01_task-ArchiSpatial_dir-pa_events.tsv,text/tab-separated-values,tsv,,sub-14,ses-01,events,ArchiSpatial,0.0009889602661132812
4887,615e2b815ca413256d1b5b1348827060,2022-05-17T11:42:24.230930,3407402,v3.0/sub-14/ses-01/func/sub-14_ses-01_task-ArchiSpatial_dir-pa_sbref.nii.gz,application/octet-stream,gz,NIFTI,sub-14,ses-01,sbref,ArchiSpatial,3.249551773071289
4888,eff9b4f427a539700f8bead2859867db,2022-05-17T11:42:25.303870,527388053,v3.0/sub-14/ses-01/func/sub-14_ses-01_task-ArchiStandard_dir-ap_bold.nii.gz,application/octet-stream,gz,NIFTI,sub-14,ses-01,bold,ArchiStandard,502.95644092559814
4889,49d1a6b510e0a8cfde59f394ab686854,2022-05-17T11:42:27.244460,2087,v3.0/sub-14/ses-01/func/sub-14_ses-01_task-ArchiStandard_dir-ap_events.tsv,text/tab-separated-values,tsv,,sub-14,ses-01,events,ArchiStandard,0.0019903182983398438
4890,ce0855a8d76b0850e09a3a5f0a07adba,2022-05-17T11:42:28.070950,3419157,v3.0/sub-14/ses-01/func/sub-14_ses-01_task-ArchiStandard_dir-ap_sbref.nii.gz,application/octet-stream,gz,NIFTI,sub-14,ses-01,sbref,ArchiStandard,3.2607622146606445
4891,2a0eb572a6790a050175617107f4f328,2022-05-17T11:42:28.936750,524767036,v3.0/sub-14/ses-01/func/sub-14_ses-01_task-ArchiStandard_dir-pa_bold.nii.gz,application/octet-stream,gz,NIFTI,sub-14,ses-01,bold,ArchiStandard,500.456844329834
4892,49d1a6b510e0a8cfde59f394ab686854,2022-05-17T11:42:30.895100,2087,v3.0/sub-14/ses-01/func/sub-14_ses-01_task-ArchiStandard_dir-pa_events.tsv,text/tab-separated-values,tsv,,sub-14,ses-01,events,ArchiStandard,0.0019903182983398438
4893,b7a20028b7a8a587e0e01e07af42cf3e,2022-05-17T11:42:31.693100,3403224,v3.0/sub-14/ses-01/func/sub-14_ses-01_task-ArchiStandard_dir-pa_sbref.nii.gz,application/octet-stream,gz,NIFTI,sub-14,ses-01,sbref,ArchiStandard,3.2455673217773438
4894,c1f06940cd0e94ed10e548d1795db8e3,2022-05-17T11:42:32.466100,2009073,v3.0/sub-14/ses-02/fmap/sub-14_ses-02_dir-ap_epi.nii.gz,application/octet-stream,gz,NIFTI,sub-14,ses-02,fmap,,1.916001319885254
4895,08cae063b30db0bf0873337bc68d5585,2022-05-17T11:42:33.261340,1997687,v3.0/sub-14/ses-02/fmap/sub-14_ses-02_dir-pa_epi.nii.gz,application/octet-stream,gz,NIFTI,sub-14,ses-02,fmap,,1.9051427841186523
4896,3f3dacdbdb9c76ae12a2513ba53b1f76,2022-05-17T11:42:34.061170,468326061,v3.0/sub-14/ses-02/func/sub-14_ses-02_task-HcpEmotion_dir-ap_bold.nii.gz,application/octet-stream,gz,NIFTI,sub-14,ses-02,bold,HcpEmotion,446.63053607940674
4897,9f30b4a875bcc05b03b02a893ffee396,2022-05-17T11:42:36.348530,1471,v3.0/sub-14/ses-02/func/sub-14_ses-02_task-HcpEmotion_dir-ap_events.tsv,text/tab-separated-values,tsv,,sub-14,ses-02,events,HcpEmotion,0.0014028549194335938
