,subject,session,desc,hemi,task,direction,run,space,suffix,datatype,extension,contrast,megabytes,dataset,path
0,,,,,,,,,README,,.md,,0.0030651092529296875,raw,README.md
1,,,,,,ap,,,epi,,.json,,7.05718994140625e-05,raw,acq-0_dir-ap_epi.json
2,,,,,,pa,,,epi,,.json,,6.961822509765625e-05,raw,acq-0_dir-pa_epi.json
3,,,,,,ap,,,epi,,.json,,7.05718994140625e-05,raw,acq-1_dir-ap_epi.json
4,,,,,,pa,,,epi,,.json,,6.961822509765625e-05,raw,acq-1_dir-pa_epi.json
5,,,,,,ap,,,epi,,.json,,7.05718994140625e-05,raw,acq-mb3_dir-ap_epi.json
6,,,,,,pa,,,epi,,.json,,6.961822509765625e-05,raw,acq-mb3_dir-pa_epi.json
7,,,,,,ap,,,epi,,.json,,7.05718994140625e-05,raw,acq-mb6_dir-ap_epi.json
8,,,,,,pa,,,epi,,.json,,6.961822509765625e-05,raw,acq-mb6_dir-pa_epi.json
9,,,,,,,,,description,,.json,,0.001926422119140625,raw,dataset_description.json
10,,,,,,ap,,,epi,,.json,,7.05718994140625e-05,raw,dir-ap_epi.json
11,,,,,,pa,,,epi,,.json,,6.961822509765625e-05,raw,dir-pa_epi.json
12,,,,,,,,,dwi,,.json,,0.00018596649169921875,raw,dwi.json
13,,,,,,,,,participants,,.tsv,,0.0002498626708984375,raw,participants.tsv
14,01,00,,,,,,,FLAIR,anat,.nii.gz,,41.08334445953369,raw,sub-01/ses-00/anat/sub-01_ses-00_FLAIR.nii.gz
15,01,00,,,,,,,T1w,anat,.nii.gz,,9.406854629516602,raw,sub-01/ses-00/anat/sub-01_ses-00_T1w.nii.gz
16,01,00,,,,,,,T2w,anat,.nii.gz,,12.45422649383545,raw,sub-01/ses-00/anat/sub-01_ses-00_acq-spc_T2w.nii.gz
17,01,00,,,,,,,T2w,anat,.nii.gz,,11.945096969604492,raw,sub-01/ses-00/anat/sub-01_ses-00_acq-tse_T2w.nii.gz
18,01,00,,,,,,,dwi,dwi,.bval,,0.000102996826171875,raw,sub-01/ses-00/dwi/sub-01_ses-00_dwi.bval
19,01,00,,,,,,,dwi,dwi,.bvec,,0.001129150390625,raw,sub-01/ses-00/dwi/sub-01_ses-00_dwi.bvec
20,01,00,,,,,,,dwi,dwi,.nii.gz,,11.224365234375,raw,sub-01/ses-00/dwi/sub-01_ses-00_dwi.nii.gz
21,01,00,,,,ap,,,epi,fmap,.json,,7.05718994140625e-05,raw,sub-01/ses-00/fmap/sub-01_ses-00_dir-ap_epi.json
22,01,00,,,,ap,,,epi,fmap,.nii.gz,,1.7441396713256836,raw,sub-01/ses-00/fmap/sub-01_ses-00_dir-ap_epi.nii.gz
23,01,00,,,,pa,,,epi,fmap,.json,,6.961822509765625e-05,raw,sub-01/ses-00/fmap/sub-01_ses-00_dir-pa_epi.json
24,01,00,,,,pa,,,epi,fmap,.nii.gz,,1.7326316833496094,raw,sub-01/ses-00/fmap/sub-01_ses-00_dir-pa_epi.nii.gz
