,subject,session,desc,hemi,task,direction,run,space,suffix,datatype,extension,contrast,megabytes,dataset,path
0,,,,,,ap,,,epi,,.json,,7.05718994140625e-05,preprocessed,acq-0_dir-ap_epi.json
1,,,,,,pa,,,epi,,.json,,6.961822509765625e-05,preprocessed,acq-0_dir-pa_epi.json
2,,,,,,ap,,,epi,,.json,,7.05718994140625e-05,preprocessed,acq-1_dir-ap_epi.json
3,,,,,,pa,,,epi,,.json,,6.961822509765625e-05,preprocessed,acq-1_dir-pa_epi.json
4,,,,,,ap,,,epi,,.json,,7.05718994140625e-05,preprocessed,acq-mb3_dir-ap_epi.json
5,,,,,,pa,,,epi,,.json,,6.961822509765625e-05,preprocessed,acq-mb3_dir-pa_epi.json
6,,,,,,ap,,,epi,,.json,,7.05718994140625e-05,preprocessed,acq-mb6_dir-ap_epi.json
7,,,,,,pa,,,epi,,.json,,6.961822509765625e-05,preprocessed,acq-mb6_dir-pa_epi.json
8,,,,,,,,,description,,.json,,0.001926422119140625,preprocessed,dataset_description.json
9,,,,,,ap,,,epi,,.json,,7.05718994140625e-05,preprocessed,dir-ap_epi.json
10,,,,,,pa,,,epi,,.json,,6.961822509765625e-05,preprocessed,dir-pa_epi.json
11,,,,,,,,,dwi,,.json,,0.00018596649169921875,preprocessed,dwi.json
12,,,,,,,,,participants,,.tsv,,0.0002498626708984375,preprocessed,participants.tsv
13,01,00,preproc,,,,,MNI152NLin2009cAsym,T1w,anat,.nii.gz,,15.67832088470459,preprocessed,sub-01/ses-00/anat/sub-01_ses-00_space-MNI152NLin2009cAsym_desc-preproc_T1w.nii.gz
14,01,00,,,,,,MNI152NLin2009cAsym,probseg,anat,.nii.gz,,16.89042091369629,preprocessed,sub-01/ses-00/anat/sub-01_ses-00_space-MNI152NLin2009cAsym_label-GM_probseg.nii.gz
15,01,00,,,,,,MNI152NLin2009cAsym,probseg,anat,.nii.gz,,17.017361640930176,preprocessed,sub-01/ses-00/anat/sub-01_ses-00_space-MNI152NLin2009cAsym_label-WM_probseg.nii.gz
16,01,00,confounds,,ArchiSocial,ap,,,timeseries,func,.tsv,,0.020323753356933594,preprocessed,sub-01/ses-00/func/sub-01_ses-00_task-ArchiSocial_dir-ap_desc-confounds_timeseries.tsv
17,01,00,,,ArchiSocial,ap,,,events,func,.tsv,,0.0024232864379882812,preprocessed,sub-01/ses-00/func/sub-01_ses-00_task-ArchiSocial_dir-ap_events.tsv
18,01,00,preproc,,ArchiSocial,ap,,MNI152NLin2009cAsym,bold,func,.nii.gz,,384.79677867889404,preprocessed,sub-01/ses-00/func/sub-01_ses-00_task-ArchiSocial_dir-ap_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz
19,01,00,confounds,,ArchiSocial,pa,,,timeseries,func,.tsv,,0.020944595336914062,preprocessed,sub-01/ses-00/func/sub-01_ses-00_task-ArchiSocial_dir-pa_desc-confounds_timeseries.tsv
20,01,00,,,ArchiSocial,pa,,,events,func,.tsv,,0.0024232864379882812,preprocessed,sub-01/ses-00/func/sub-01_ses-00_task-ArchiSocial_dir-pa_events.tsv
21,01,00,preproc,,ArchiSocial,pa,,MNI152NLin2009cAsym,bold,func,.nii.gz,,383.68925857543945,preprocessed,sub-01/ses-00/func/sub-01_ses-00_task-ArchiSocial_dir-pa_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz
22,01,00,confounds,,ArchiSpatial,ap,,,timeseries,func,.tsv,,0.01893329620361328,preprocessed,sub-01/ses-00/func/sub-01_ses-00_task-ArchiSpatial_dir-ap_desc-confounds_timeseries.tsv
23,01,00,,,ArchiSpatial,ap,,,events,func,.tsv,,0.0009889602661132812,preprocessed,sub-01/ses-00/func/sub-01_ses-00_task-ArchiSpatial_dir-ap_events.tsv
24,01,00,preproc,,ArchiSpatial,ap,,MNI152NLin2009cAsym,bold,func,.nii.gz,,370.0485143661499,preprocessed,sub-01/ses-00/func/sub-01_ses-00_task-ArchiSpatial_dir-ap_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz
25,01,00,confounds,,ArchiSpatial,pa,,,timeseries,func,.tsv,,0.019112586975097656,preprocessed,sub-01/ses-00/func/sub-01_ses-00_task-ArchiSpatial_dir-pa_desc-confounds_timeseries.tsv
26,01,00,,,ArchiSpatial,pa,,,events,func,.tsv,,0.0009889602661132812,preprocessed,sub-01/ses-00/func/sub-01_ses-00_task-ArchiSpatial_dir-pa_events.tsv
27,01,00,preproc,,ArchiSpatial,pa,,MNI152NLin2009cAsym,bold,func,.nii.gz,,369.2591905593872,preprocessed,sub-01/ses-00/func/sub-01_ses-00_task-ArchiSpatial_dir-pa_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz
28,01,00,confounds,,ArchiStandard,ap,,,timeseries,func,.tsv,,0.012054443359375,preprocessed,sub-01/ses-00/func/sub-01_ses-00_task-ArchiStandard_dir-ap_desc-confounds_timeseries.tsv
29,01,00,,,ArchiStandard,ap,,,events,func,.tsv,,0.0019903182983398438,preprocessed,sub-01/ses-00/func/sub-01_ses-00_task-ArchiStandard_dir-ap_events.tsv
30,01,00,preproc,,ArchiStandard,ap,,MNI152NLin2009cAsym,bold,func,.nii.gz,,229.05426502227783,preprocessed,sub-01/ses-00/func/sub-01_ses-00_task-ArchiStandard_dir-ap_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz
31,01,00,confounds,,ArchiStandard,pa,,,timeseries,func,.tsv,,0.012378692626953125,preprocessed,sub-01/ses-00/func/sub-01_ses-00_task-ArchiStandard_dir-pa_desc-confounds_timeseries.tsv
32,01,00,,,ArchiStandard,pa,,,events,func,.tsv,,0.0019903182983398438,preprocessed,sub-01/ses-00/func/sub-01_ses-00_task-ArchiStandard_dir-pa_events.tsv
33,01,00,preproc,,ArchiStandard,pa,,MNI152NLin2009cAsym,bold,func,.nii.gz,,228.12875843048096,preprocessed,sub-01/ses-00/func/sub-01_ses-00_task-ArchiStandard_dir-pa_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz
34,01,03,confounds,,HcpEmotion,ap,,,timeseries,func,.tsv,,0.010911941528320312,preprocessed,sub-01/ses-03/func/sub-01_ses-03_task-HcpEmotion_dir-ap_desc-confounds_timeseries.tsv
35,01,03,,,HcpEmotion,ap,,,events,func,.tsv,,0.001399993896484375,preprocessed,sub-01/ses-03/func/sub-01_ses-03_task-HcpEmotion_dir-ap_events.tsv
36,01,03,preproc,,HcpEmotion,ap,,MNI152NLin2009cAsym,bold,func,.nii.gz,,619.6787986755371,preprocessed,sub-01/ses-03/func/sub-01_ses-03_task-HcpEmotion_dir-ap_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz
37,01,03,confounds,,HcpEmotion,pa,,,timeseries,func,.tsv,,0.010785102844238281,preprocessed,sub-01/ses-03/func/sub-01_ses-03_task-HcpEmotion_dir-pa_desc-confounds_timeseries.tsv
38,01,03,,,HcpEmotion,pa,,,events,func,.tsv,,0.001399993896484375,preprocessed,sub-01/ses-03/func/sub-01_ses-03_task-HcpEmotion_dir-pa_events.tsv
39,01,03,preproc,,HcpEmotion,pa,,MNI152NLin2009cAsym,bold,func,.nii.gz,,619.6247491836548,preprocessed,sub-01/ses-03/func/sub-01_ses-03_task-HcpEmotion_dir-pa_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz
40,01,03,confounds,,HcpGambling,ap,,,timeseries,func,.tsv,,0.014903068542480469,preprocessed,sub-01/ses-03/func/sub-01_ses-03_task-HcpGambling_dir-ap_desc-confounds_timeseries.tsv
41,01,03,,,HcpGambling,ap,,,events,func,.tsv,,0.0014581680297851562,preprocessed,sub-01/ses-03/func/sub-01_ses-03_task-HcpGambling_dir-ap_events.tsv
42,01,03,preproc,,HcpGambling,ap,,MNI152NLin2009cAsym,bold,func,.nii.gz,,838.0819892883301,preprocessed,sub-01/ses-03/func/sub-01_ses-03_task-HcpGambling_dir-ap_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz
43,01,03,confounds,,HcpGambling,pa,,,timeseries,func,.tsv,,0.014530181884765625,preprocessed,sub-01/ses-03/func/sub-01_ses-03_task-HcpGambling_dir-pa_desc-confounds_timeseries.tsv
44,01,03,,,HcpGambling,pa,,,events,func,.tsv,,0.0014591217041015625,preprocessed,sub-01/ses-03/func/sub-01_ses-03_task-HcpGambling_dir-pa_events.tsv
45,01,03,preproc,,HcpGambling,pa,,MNI152NLin2009cAsym,bold,func,.nii.gz,,838.174054145813,preprocessed,sub-01/ses-03/func/sub-01_ses-03_task-HcpGambling_dir-pa_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz
46,01,03,confounds,,HcpLanguage,ap,,,timeseries,func,.tsv,,0.016963958740234375,preprocessed,sub-01/ses-03/func/sub-01_ses-03_task-HcpLanguage_dir-ap_desc-confounds_timeseries.tsv
47,01,03,,,HcpLanguage,ap,,,events,func,.tsv,,0.00040149688720703125,preprocessed,sub-01/ses-03/func/sub-01_ses-03_task-HcpLanguage_dir-ap_events.tsv
