,subject,session,desc,hemi,task,direction,run,space,suffix,datatype,extension,contrast,megabytes,dataset,path
0,,,,,,ap,,,epi,,.json,,0.0,raw,acq-0_dir-ap_epi.json
1,,,,,,pa,,,epi,,.json,,6.961822509765625e-05,raw,acq-0_dir-pa_epi.json
2,,,,,,ap,,,epi,,.json,,7.05718994140625e-05,raw,acq-1_dir-ap_epi.json
3,,,,,,pa,,,epi,,.json,,6.961822509765625e-05,raw,acq-1_dir-pa_epi.json
4,,,,,,ap,,,epi,,.json,,7.05718994140625e-05,raw,acq-mb3_dir-ap_epi.json
5,,,,,,pa,,,epi,,.json,,6.961822509765625e-05,raw,acq-mb3_dir-pa_epi.json
6,,,,,,ap,,,epi,,.json,,0.0,raw,acq-mb6_dir-ap_epi.json
7,,,,,,pa,,,epi,,.json,,6.961822509765625e-05,raw,acq-mb6_dir-pa_epi.json
8,,,,,,,,,2241f46ee586,,.pdf,,0.14027976989746094,raw,data-descriptor_2241f46ee586.pdf
9,,,,,,,,,description,,.json,,0.001926422119140625,raw,dataset_description.json
10,,,,,,,,,epi,,.json,,7.05718994140625e-05,raw,dir-ap_epi.json
11,,,,,,,,,epi,,.json,,6.961822509765625e-05,raw,dir-pa_epi.json
12,,,,,,,,,dwi,,.json,,0.00018596649169921875,raw,dwi.json
13,,,,,,,,,participants,,.tsv,,0.0002498626708984375,raw,participants.tsv
14,01,00,,,,,,,FLAIR,anat,.nii.gz,,41.08334445953369,raw,sub-01/ses-00/anat/sub-01_ses-00_FLAIR.nii.gz
15,01,00,,,,,,,T1w,anat,.nii.gz,,9.406854629516602,raw,sub-01/ses-00/anat/sub-01_ses-00_T1w.nii.gz
16,01,00,,,,,,,T2w,anat,.nii.gz,,12.45422649383545,raw,sub-01/ses-00/anat/sub-01_ses-00_acq-spc_T2w.nii.gz
17,01,00,,,,,,,dwi,dwi,.bval,,0.000102996826171875,raw,sub-01/ses-00/dwi/sub-01_ses-00_dwi.bval
18,01,00,,,,,,,dwi,dwi,.bvec,,0.001129150390625,raw,sub-01/ses-00/dwi/sub-01_ses-00_dwi.bvec
19,01,00,,,,,,,dwi,dwi,.nii.gz,,11.224365234375,raw,sub-01/ses-00/dwi/sub-01_ses-00_dwi.nii.gz
20,01,00,,,,ap,,,epi,fmap,.json,,7.05718994140625e-05,raw,sub-01/ses-00/fmap/sub-01_ses-00_dir-ap_epi.json
21,01,00,,,,ap,,,epi,fmap,.nii.gz,,1.7441396713256836,raw,sub-01/ses-00/fmap/sub-01_ses-00_dir-ap_epi.nii.gz
22,01,00,,,,pa,,,epi,fmap,.json,,6.961822509765625e-05,raw,sub-01/ses-00/fmap/sub-01_ses-00_dir-pa_epi.json
23,01,00,,,,pa,,,epi,fmap,.nii.gz,,1.7326316833496094,raw,sub-01/ses-00/fmap/sub-01_ses-00_dir-pa_epi.nii.gz
24,01,00,,,ArchiSocial,ap,,,bold,func,.nii.gz,,433.7954511642456,raw,sub-01/ses-00/func/sub-01_ses-00_task-ArchiSocial_dir-ap_bold.nii.gz
25,01,00,,,ArchiSocial,ap,,,events,func,.tsv,,0.0024232864379882812,raw,sub-01/ses-00/func/sub-01_ses-00_task-ArchiSocial_dir-ap_events.tsv
26,01,00,,,ArchiSocial,ap,,,sbref,func,.nii.gz,,1.728529930114746,raw,sub-01/ses-00/func/sub-01_ses-00_task-ArchiSocial_dir-ap_sbref.nii.gz
27,01,00,,,ArchiSocial,pa,,,bold,func,.nii.gz,,430.83484268188477,raw,sub-01/ses-00/func/sub-01_ses-00_task-ArchiSocial_dir-pa_bold.nii.gz
28,01,00,,,ArchiSocial,pa,,,events,func,.tsv,,0.0024232864379882812,raw,sub-01/ses-00/func/sub-01_ses-00_task-ArchiSocial_dir-pa_events.tsv
29,01,00,,,ArchiSocial,pa,,,sbref,func,.nii.gz,,1.7184085845947266,raw,sub-01/ses-00/func/sub-01_ses-00_task-ArchiSocial_dir-pa_sbref.nii.gz
30,01,00,,,ArchiSpatial,ap,,,bold,func,.nii.gz,,417.49077129364014,raw,sub-01/ses-00/func/sub-01_ses-00_task-ArchiSpatial_dir-ap_bold.nii.gz
31,01,00,,,ArchiSpatial,ap,,,events,func,.tsv,,0.0009889602661132812,raw,sub-01/ses-00/func/sub-01_ses-00_task-ArchiSpatial_dir-ap_events.tsv
32,01,00,,,ArchiSpatial,ap,,,sbref,func,.nii.gz,,1.7285127639770508,raw,sub-01/ses-00/func/sub-01_ses-00_task-ArchiSpatial_dir-ap_sbref.nii.gz
33,01,00,,,ArchiSpatial,pa,,,bold,func,.nii.gz,,414.54263401031494,raw,sub-01/ses-00/func/sub-01_ses-00_task-ArchiSpatial_dir-pa_bold.nii.gz
34,01,00,,,ArchiSpatial,pa,,,events,func,.tsv,,0.0009889602661132812,raw,sub-01/ses-00/func/sub-01_ses-00_task-ArchiSpatial_dir-pa_events.tsv
35,01,00,,,ArchiSpatial,pa,,,sbref,func,.nii.gz,,1.7194805145263672,raw,sub-01/ses-00/func/sub-01_ses-00_task-ArchiSpatial_dir-pa_sbref.nii.gz
36,01,00,,,ArchiStandard,ap,,,bold,func,.nii.gz,,258.18169593811035,raw,sub-01/ses-00/func/sub-01_ses-00_task-ArchiStandard_dir-ap_bold.nii.gz
37,01,00,,,ArchiStandard,ap,,,events,func,.tsv,,0.0019903182983398438,raw,sub-01/ses-00/func/sub-01_ses-00_task-ArchiStandard_dir-ap_events.tsv
38,01,00,,,ArchiStandard,ap,,,sbref,func,.nii.gz,,1.7287616729736328,raw,sub-01/ses-00/func/sub-01_ses-00_task-ArchiStandard_dir-ap_sbref.nii.gz
39,01,00,,,ArchiStandard,pa,,,bold,func,.nii.gz,,256.7983913421631,raw,sub-01/ses-00/func/sub-01_ses-00_task-ArchiStandard_dir-pa_bold.nii.gz
40,01,00,,,ArchiStandard,pa,,,events,func,.tsv,,0.0019903182983398438,raw,sub-01/ses-00/func/sub-01_ses-00_task-ArchiStandard_dir-pa_events.tsv
41,01,00,,,ArchiStandard,pa,,,sbref,func,.nii.gz,,1.7204532623291016,raw,sub-01/ses-00/func/sub-01_ses-00_task-ArchiStandard_dir-pa_sbref.nii.gz
42,01,03,,,,ap,,,epi,fmap,.nii.gz,,2.009847640991211,raw,sub-01/ses-03/fmap/sub-01_ses-03_dir-ap_epi.nii.gz
43,01,03,,,,pa,,,epi,fmap,.nii.gz,,1.9932146072387695,raw,sub-01/ses-03/fmap/sub-01_ses-03_dir-pa_epi.nii.gz
44,01,03,,,HcpEmotion,ap,,,bold,func,.nii.gz,,464.37185192108154,raw,sub-01/ses-03/func/sub-01_ses-03_task-HcpEmotion_dir-ap_bold.nii.gz
45,01,03,,,HcpEmotion,ap,,,events,func,.tsv,,0.001399993896484375,raw,sub-01/ses-03/func/sub-01_ses-03_task-HcpEmotion_dir-ap_events.tsv
46,01,03,,,HcpEmotion,ap,,,sbref,func,.nii.gz,,3.3680896759033203,raw,sub-01/ses-03/func/sub-01_ses-03_task-HcpEmotion_dir-ap_sbref.nii.gz
47,01,03,,,HcpEmotion,pa,,,bold,func,.nii.gz,,460.08518505096436,raw,sub-01/ses-03/func/sub-01_ses-03_task-HcpEmotion_dir-pa_bold.nii.gz
48,01,03,,,HcpEmotion,pa,,,events,func,.tsv,,0.001399993896484375,raw,sub-01/ses-03/func/sub-01_ses-03_task-HcpEmotion_dir-pa_events.tsv
49,01,03,,,HcpEmotion,pa,,,sbref,func,.nii.gz,,3.339951515197754,raw,sub-01/ses-03/func/sub-01_ses-03_task-HcpEmotion_dir-pa_sbref.nii.gz
50,01,03,,,HcpGambling,ap,,,bold,func,.nii.gz,,628.1297397613525,raw,sub-01/ses-03/func/sub-01_ses-03_task-HcpGambling_dir-ap_bold.nii.gz
51,01,03,,,HcpGambling,ap,,,events,func,.tsv,,0.0014581680297851562,raw,sub-01/ses-03/func/sub-01_ses-03_task-HcpGambling_dir-ap_events.tsv
52,01,03,,,HcpGambling,ap,,,sbref,func,.nii.gz,,3.367889404296875,raw,sub-01/ses-03/func/sub-01_ses-03_task-HcpGambling_dir-ap_sbref.nii.gz
53,01,03,,,HcpGambling,pa,,,bold,func,.nii.gz,,622.8891830444336,raw,sub-01/ses-03/func/sub-01_ses-03_task-HcpGambling_dir-pa_bold.nii.gz
54,01,03,,,HcpGambling,pa,,,events,func,.tsv,,0.0014591217041015625,raw,sub-01/ses-03/func/sub-01_ses-03_task-HcpGambling_dir-pa_events.tsv
55,01,03,,,HcpGambling,pa,,,sbref,func,.nii.gz,,3.3398218154907227,raw,sub-01/ses-03/func/sub-01_ses-03_task-HcpGambling_dir-pa_sbref.nii.gz
56,01,03,,,HcpLanguage,ap,,,bold,func,.nii.gz,,731.5758905410767,raw,sub-01/ses-03/func/sub-01_ses-03_task-HcpLanguage_dir-ap_bold.nii.gz
57,01,03,,,HcpLanguage,ap,,,events,func,.tsv,,0.00040149688720703125,raw,sub-01/ses-03/func/sub-01_ses-03_task-HcpLanguage_dir-ap_events.tsv
58,01,03,,,HcpLanguage,ap,,,sbref,func,.nii.gz,,3.367304801940918,raw,sub-01/ses-03/func/sub-01_ses-03_task-HcpLanguage_dir-ap_sbref.nii.gz
59,01,03,,,HcpLanguage,pa,,,bold,func,.nii.gz,,726.2528438568115,raw,sub-01/ses-03/func/sub-01_ses-03_task-HcpLanguage_dir-pa_bold.nii.gz
60,01,03,,,HcpLanguage,pa,,,events,func,.tsv,,0.0005006790161132812,raw,sub-01/ses-03/func/sub-01_ses-03_task-HcpLanguage_dir-pa_events.tsv
61,01,03,,,HcpLanguage,pa,,,sbref,func,.nii.gz,,3.343006134033203,raw,sub-01/ses-03/func/sub-01_ses-03_task-HcpLanguage_dir-pa_sbref.nii.gz
62,01,03,,,HcpMotor,ap,,,bold,func,.nii.gz,,618.048056602478,raw,sub-01/ses-03/func/sub-01_ses-03_task-HcpMotor_dir-ap_bold.nii.gz
63,01,03,,,HcpMotor,ap,,,events,func,.tsv,,0.0052242279052734375,raw,sub-01/ses-03/func/sub-01_ses-03_task-HcpMotor_dir-ap_events.tsv
64,01,03,,,HcpMotor,ap,,,sbref,func,.nii.gz,,3.3700637817382812,raw,sub-01/ses-03/func/sub-01_ses-03_task-HcpMotor_dir-ap_sbref.nii.gz
65,01,03,,,HcpMotor,pa,,,bold,func,.nii.gz,,613.3765859603882,raw,sub-01/ses-03/func/sub-01_ses-03_task-HcpMotor_dir-pa_bold.nii.gz
66,01,03,,,HcpMotor,pa,,,events,func,.tsv,,0.00522613525390625,raw,sub-01/ses-03/func/sub-01_ses-03_task-HcpMotor_dir-pa_events.tsv
67,01,03,,,HcpMotor,pa,,,sbref,func,.nii.gz,,3.3432512283325195,raw,sub-01/ses-03/func/sub-01_ses-03_task-HcpMotor_dir-pa_sbref.nii.gz
68,01,04,,,,ap,,,epi,fmap,.nii.gz,,2.0174646377563477,raw,sub-01/ses-04/fmap/sub-01_ses-04_dir-ap_epi.nii.gz
69,01,04,,,,pa,,,epi,fmap,.nii.gz,,1.9921073913574219,raw,sub-01/ses-04/fmap/sub-01_ses-04_dir-pa_epi.nii.gz
70,01,04,,,HcpRelational,ap,,,bold,func,.nii.gz,,1042.2953615188599,raw,sub-01/ses-04/func/sub-01_ses-04_task-HcpRelational_dir-ap_bold.nii.gz
71,01,04,,,HcpRelational,ap,,,events,func,.tsv,,0.0012788772583007812,raw,sub-01/ses-04/func/sub-01_ses-04_task-HcpRelational_dir-ap_events.tsv
72,01,04,,,HcpRelational,ap,,,sbref,func,.nii.gz,,3.3825063705444336,raw,sub-01/ses-04/func/sub-01_ses-04_task-HcpRelational_dir-ap_sbref.nii.gz
73,01,04,,,HcpRelational,pa,,,bold,func,.nii.gz,,1028.6610498428345,raw,sub-01/ses-04/func/sub-01_ses-04_task-HcpRelational_dir-pa_bold.nii.gz
74,01,04,,,HcpRelational,pa,,,events,func,.tsv,,0.0012722015380859375,raw,sub-01/ses-04/func/sub-01_ses-04_task-HcpRelational_dir-pa_events.tsv
75,01,04,,,HcpRelational,pa,,,sbref,func,.nii.gz,,3.3403539657592773,raw,sub-01/ses-04/func/sub-01_ses-04_task-HcpRelational_dir-pa_sbref.nii.gz
76,01,04,,,HcpSocial,ap,,,bold,func,.nii.gz,,657.2759284973145,raw,sub-01/ses-04/func/sub-01_ses-04_task-HcpSocial_dir-ap_bold.nii.gz
77,01,04,,,HcpSocial,ap,,,events,func,.tsv,,0.000240325927734375,raw,sub-01/ses-04/func/sub-01_ses-04_task-HcpSocial_dir-ap_events.tsv
78,01,04,,,HcpSocial,ap,,,sbref,func,.nii.gz,,3.3848037719726562,raw,sub-01/ses-04/func/sub-01_ses-04_task-HcpSocial_dir-ap_sbref.nii.gz
79,01,04,,,HcpSocial,pa,,,bold,func,.nii.gz,,648.810887336731,raw,sub-01/ses-04/func/sub-01_ses-04_task-HcpSocial_dir-pa_bold.nii.gz
80,01,04,,,HcpSocial,pa,,,events,func,.tsv,,0.00024127960205078125,raw,sub-01/ses-04/func/sub-01_ses-04_task-HcpSocial_dir-pa_events.tsv
81,01,04,,,HcpSocial,pa,,,sbref,func,.nii.gz,,3.3410825729370117,raw,sub-01/ses-04/func/sub-01_ses-04_task-HcpSocial_dir-pa_sbref.nii.gz
82,01,04,,,HcpWm,ap,,,bold,func,.nii.gz,,1016.3809995651245,raw,sub-01/ses-04/func/sub-01_ses-04_task-HcpWm_dir-ap_bold.nii.gz
83,01,04,,,HcpWm,ap,,,events,func,.tsv,,0.0040225982666015625,raw,sub-01/ses-04/func/sub-01_ses-04_task-HcpWm_dir-ap_events.tsv
84,01,04,,,HcpWm,ap,,,sbref,func,.nii.gz,,3.387378692626953,raw,sub-01/ses-04/func/sub-01_ses-04_task-HcpWm_dir-ap_sbref.nii.gz
85,01,04,,,HcpWm,pa,,,bold,func,.nii.gz,,1003.8030004501343,raw,sub-01/ses-04/func/sub-01_ses-04_task-HcpWm_dir-pa_bold.nii.gz
86,01,04,,,HcpWm,pa,,,events,func,.tsv,,0.004019737243652344,raw,sub-01/ses-04/func/sub-01_ses-04_task-HcpWm_dir-pa_events.tsv
87,01,04,,,HcpWm,pa,,,sbref,func,.nii.gz,,3.343778610229492,raw,sub-01/ses-04/func/sub-01_ses-04_task-HcpWm_dir-pa_sbref.nii.gz
88,01,05,,,,ap,,,epi,fmap,.nii.gz,,1.9965858459472656,raw,sub-01/ses-05/fmap/sub-01_ses-05_dir-ap_epi.nii.gz
89,01,05,,,,pa,,,epi,fmap,.nii.gz,,1.9774484634399414,raw,sub-01/ses-05/fmap/sub-01_ses-05_dir-pa_epi.nii.gz
90,01,05,,,RSVPLanguage,ap,3.0,,bold,func,.nii.gz,,1030.4928770065308,raw,sub-01/ses-05/func/sub-01_ses-05_task-RSVPLanguage_dir-ap_run-03_bold.nii.gz
